"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.03.2022","81,04","79,86","81,77","79,63","30,20M","0,63%"
"02.03.2022","80,53","80,60","82,15","79,82","44,32M","1,72%"
"01.03.2022","79,17","78,77","80,65","78,33","40,00M","0,96%"
"28.02.2022","78,42","76,51","78,93","76,20","32,20M","0,75%"
"25.02.2022","77,84","76,69","77,99","76,26","28,31M","2,69%"
"24.02.2022","75,80","79,00","79,03","74,03","46,20M","-1,26%"
"23.02.2022","76,77","76,46","77,47","76,13","25,39M","0,41%"
"22.02.2022","76,46","79,67","79,79","75,31","35,95M","-1,16%"
"18.02.2022","77,36","77,16","78,17","76,89","23,39M","-1,11%"
"17.02.2022","78,23","78,48","79,12","77,95","23,74M","-0,15%"
"16.02.2022","78,35","78,79","79,73","78,04","21,73M","0,46%"
"15.02.2022","77,99","76,90","78,19","76,42","25,09M","-1,25%"
"14.02.2022","78,98","79,58","79,84","77,05","34,65M","-1,53%"
"11.02.2022","80,21","78,62","80,32","78,23","42,00M","2,52%"
"10.02.2022","78,24","78,72","79,68","77,79","28,53M","-0,96%"
"09.02.2022","79,00","79,58","80,03","78,71","40,11M","-1,57%"
"08.02.2022","80,26","82,27","82,50","79,92","34,36M","-2,59%"
"07.02.2022","82,39","81,14","83,08","80,64","34,95M","1,20%"
"04.02.2022","81,41","80,87","82,53","80,87","32,20M","2,17%"
"03.02.2022","79,68","80,09","80,31","79,02","28,53M","-1,17%"
"02.02.2022","80,62","80,06","80,81","79,15","30,30M","-0,26%"
"01.02.2022","80,83","76,45","81,51","76,27","61,03M","6,41%"
"31.01.2022","75,96","74,97","76,42","74,26","36,09M","0,90%"
"28.01.2022","75,28","74,97","75,62","73,95","30,60M","0,21%"
"27.01.2022","75,12","75,46","76,01","73,99","29,17M","1,28%"
"26.01.2022","74,17","75,43","76,00","73,49","35,25M","-1,01%"
"25.01.2022","74,93","72,59","75,24","71,39","39,28M","2,94%"
"24.01.2022","72,79","70,88","73,08","69,81","41,58M","0,86%"
"21.01.2022","72,17","73,18","73,18","71,04","35,12M","-1,50%"
"20.01.2022","73,27","72,50","74,37","72,26","26,77M","0,22%"
"19.01.2022","73,11","73,75","73,86","72,55","26,43M","0,04%"
"18.01.2022","73,08","72,82","73,88","72,01","32,86M","1,68%"
"14.01.2022","71,87","70,65","72,14","70,60","23,01M","1,76%"
"13.01.2022","70,63","71,12","71,58","70,31","21,04M","-0,72%"
"12.01.2022","71,14","71,14","71,81","70,64","23,05M","-0,29%"
"11.01.2022","71,35","68,89","71,40","68,58","32,94M","4,21%"
"10.01.2022","68,47","68,97","69,17","67,95","22,76M","-0,60%"
"07.01.2022","68,88","68,52","69,18","67,98","23,99M","0,82%"
"06.01.2022","68,32","68,00","68,48","67,07","30,67M","2,35%"
"05.01.2022","66,75","66,50","67,61","66,48","34,03M","1,24%"
"04.01.2022","65,93","64,13","66,18","64,10","38,58M","3,76%"
"03.01.2022","63,54","61,24","63,60","61,21","24,29M","3,84%"
"31.12.2021","61,19","60,74","61,47","60,70","14,07M","0,66%"
"30.12.2021","60,79","61,22","61,60","60,76","11,94M","-0,59%"
"29.12.2021","61,15","61,48","61,60","60,92","12,73M","-0,88%"
"28.12.2021","61,69","61,91","62,31","61,40","12,79M","-0,32%"
"27.12.2021","61,89","60,93","61,95","60,42","12,60M","1,43%"
"23.12.2021","61,02","61,17","61,84","61,00","13,54M","0,05%"
"22.12.2021","60,99","60,34","61,37","59,97","14,06M","0,81%"
"21.12.2021","60,50","59,75","60,68","59,72","19,80M","2,27%"
"20.12.2021","59,16","58,79","59,25","57,96","21,82M","-1,45%"
"17.12.2021","60,03","60,95","61,28","59,69","44,45M","-2,18%"
"16.12.2021","61,37","61,44","62,45","61,30","21,19M","0,16%"
"15.12.2021","61,27","61,19","61,50","60,01","19,96M","-0,44%"
"14.12.2021","61,54","61,26","62,47","61,22","22,55M","-0,15%"
"13.12.2021","61,63","62,47","62,72","61,35","17,79M","-2,19%"
"10.12.2021","63,01","63,27","63,35","62,22","17,94M","0,64%"
"09.12.2021","62,61","62,05","62,77","61,81","16,91M","0,26%"
"08.12.2021","62,45","62,61","63,19","62,34","18,21M","0,29%"
"07.12.2021","62,27","62,34","63,03","62,10","19,80M","1,12%"
"06.12.2021","61,58","61,72","62,16","61,42","19,21M","1,13%"
"03.12.2021","60,89","61,92","62,23","60,35","22,01M","-0,64%"
